"scientificName","Family","nativeStatus","plantOrigin"
"Abronia bolackii","Nyctaginaceae","L48(N)","native"
"Abronia carletonii","Nyctaginaceae","L48(N)","native"
"Abronia elliptica","Nyctaginaceae","L48(N)","native"
"Abronia fragrans","Nyctaginaceae","L48(N)","native"
"Abronia gracilis","Nyctaginaceae","L48(N)","native"
"Abronia insularis","Nyctaginaceae","L48(N)","native"
"Abronia latifolia","Nyctaginaceae","L48(N)CAN(N)","native"
"Abronia macrocarpa","Nyctaginaceae","L48(N)","native"
"Abronia maritima","Nyctaginaceae","L48(N)","native"
"Abronia mellifera","Nyctaginaceae","L48(N)","native"
"Abronia minor","Nyctaginaceae","L48(N)","native"
"Abronia nana","Nyctaginaceae","L48(N)","native"
"Abronia nana var. covillei","Nyctaginaceae","L48(N)","native"
"Abronia nana var. harrisii","Nyctaginaceae","L48(N)","native"
"Abronia nana var. nana","Nyctaginaceae","L48(N)","native"
"Abronia neurophylla","Nyctaginaceae","L48(N)","native"
"Abronia pogonantha","Nyctaginaceae","L48(N)","native"
"Abronia turbinata","Nyctaginaceae","L48(N)","native"
"Abronia umbellata","Nyctaginaceae","L48(N)CAN(N)","native"
"Abronia umbellata ssp. breviflora","Nyctaginaceae","L48(N)CAN(N)","native"
"Abronia umbellata ssp. umbellata","Nyctaginaceae","L48(N)","native"
"Abronia villosa","Nyctaginaceae","L48(N)","native"
"Abronia villosa var. aurita","Nyctaginaceae","L48(N)","native"
"Abronia villosa var. villosa","Nyctaginaceae","L48(N)","native"
"Abrothallus","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus bertianus","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus bryoriarum","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus cetrariae","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus cladoniae","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus parmeliarum","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus peyritschii","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus prodiens","Uncertain Ascomycota Family","NA(N)","native"
"Abrothallus welwitschii","Uncertain Ascomycota Family","NA(N)","native"
"Abrus","Fabaceae","L48(I)","alien"
"Abrus precatorius","Fabaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Absconditella","Stictidaceae","NA(N)","native"
"Absconditella sphagnorum","Stictidaceae","NA(N)","native"
"Absconditella trivialis","Stictidaceae","NA(N)","native"
"Abutilon","Malvaceae","L48(I,N)CAN(I)","native"
"Abutilon abutiloides","Malvaceae","L48(N)PR(N)VI(I)","native"
"Abutilon auritum","Malvaceae","HI(I)",NA
"Abutilon berlandieri","Malvaceae","L48(N)","native"
"Abutilon eremitopetalum","Malvaceae","HI(N)",NA
"Abutilon fruticosum","Malvaceae","L48(N)","native"
"Abutilon glabriflorum","Malvaceae",NA,NA
"Abutilon grandifolium","Malvaceae","L48(I)HI(I)","alien"
"Abutilon hirtum","Malvaceae","L48(I)PR(I)VI(I)","alien"
"Abutilon hulseanum","Malvaceae","L48(N)PR(N)","native"
"Abutilon hypoleucum","Malvaceae","L48(N)","native"
"Abutilon incanum","Malvaceae","L48(N)HI(N)","native"
"Abutilon indicum","Malvaceae","L48(I)HI(I)PR(N)VI(N)","alien"
"Abutilon indicum ssp. albescens","Malvaceae","L48(N)","native"
"Abutilon malacum","Malvaceae","L48(N)","native"
"Abutilon mauritianum","Malvaceae",NA,NA
"Abutilon megapotamicum","Malvaceae",NA,NA
"Abutilon menziesii","Malvaceae","HI(N)",NA
"Abutilon mollicomum","Malvaceae","L48(N)","native"
"Abutilon palmeri","Malvaceae","L48(N)","native"
"Abutilon parishii","Malvaceae","L48(N)","native"
"Abutilon parvulum","Malvaceae","L48(N)","native"
"Abutilon permolle","Malvaceae","L48(N)PR(N)","native"
"Abutilon reventum","Malvaceae","L48(N)","native"
"Abutilon sandwicense","Malvaceae","HI(N)",NA
"Abutilon theophrasti","Malvaceae","L48(I)CAN(I)","alien"
"Abutilon thurberi","Malvaceae","L48(N)","native"
"Abutilon trisulcatum","Malvaceae","L48(N)","native"
"Abutilon wrightii","Malvaceae","L48(N)","native"
"Acacia","Fabaceae","L48(I)","alien"
"Acacia X emoryana","Fabaceae","L48(N)","native"
"Acacia abyssinica","Fabaceae",NA,NA
"Acacia abyssinica ssp. calophylla","Fabaceae",NA,NA
"Acacia acinacea","Fabaceae",NA,NA
"Acacia aciphylla","Fabaceae",NA,NA
"Acacia aculeatissima","Fabaceae",NA,NA
"Acacia acuminata","Fabaceae",NA,NA
"Acacia adunca","Fabaceae",NA,NA
"Acacia alata","Fabaceae",NA,NA
"Acacia ampliceps","Fabaceae",NA,NA
"Acacia anegadensis","Fabaceae",NA,NA
"Acacia aneura","Fabaceae","HI(I)",NA
"Acacia angustissima","Fabaceae","L48(N)","native"
"Acacia angustissima var. chisosiana","Fabaceae","L48(N)","native"
"Acacia angustissima var. hirta","Fabaceae","L48(N)","native"
"Acacia angustissima var. leucothrix","Fabaceae","L48(N)","native"
"Acacia angustissima var. shrevei","Fabaceae","L48(N)","native"
"Acacia angustissima var. suffrutescens","Fabaceae","L48(N)","native"
"Acacia arenaria","Fabaceae",NA,NA
"Acacia auriculiformis","Fabaceae","L48(I)","alien"
"Acacia baileyana","Fabaceae","L48(I)","alien"
"Acacia beckleri","Fabaceae",NA,NA
"Acacia berlandieri","Fabaceae","L48(N)","native"
"Acacia binervata","Fabaceae",NA,NA
"Acacia boomanii","Fabaceae",NA,NA
"Acacia brachybotrya","Fabaceae",NA,NA
"Acacia buxifolia","Fabaceae",NA,NA
"Acacia caesiella","Fabaceae",NA,NA
"Acacia calamifolia","Fabaceae",NA,NA
"Acacia cambagei","Fabaceae",NA,NA
"Acacia cardiophylla","Fabaceae",NA,NA
"Acacia catechu","Fabaceae",NA,NA
"Acacia caven","Fabaceae",NA,NA
"Acacia chinchillensis","Fabaceae",NA,NA
"Acacia choriophylla","Fabaceae","L48(N)","native"
"Acacia cibaria","Fabaceae",NA,NA
"Acacia cognata","Fabaceae",NA,NA
"Acacia colletioides","Fabaceae",NA,NA
"Acacia collinsii","Fabaceae",NA,NA
"Acacia confusa","Fabaceae","L48(I)HI(I)","alien"
"Acacia conspersa","Fabaceae",NA,NA
"Acacia constricta","Fabaceae","L48(N)","native"
"Acacia constricta var. constricta","Fabaceae","L48(N)","native"
"Acacia constricta var. paucispina","Fabaceae","L48(N)","native"
"Acacia continua","Fabaceae",NA,NA
"Acacia cornigera","Fabaceae","L48(I)","alien"
"Acacia craspedocarpa","Fabaceae",NA,NA
"Acacia cultriformis","Fabaceae",NA,NA
"Acacia cupularis","Fabaceae",NA,NA
"Acacia cyclops","Fabaceae","L48(I)","alien"
"Acacia davyi","Fabaceae",NA,NA
"Acacia dealbata","Fabaceae","L48(I)","alien"
"Acacia deanei","Fabaceae",NA,NA
"Acacia deanei ssp. paucijuga","Fabaceae",NA,NA
"Acacia decora","Fabaceae",NA,NA
"Acacia decurrens","Fabaceae","L48(I)","alien"
"Acacia dietrichiana","Fabaceae",NA,NA
"Acacia difformis","Fabaceae",NA,NA
"Acacia doratoxylon","Fabaceae",NA,NA
"Acacia drummondii","Fabaceae",NA,NA
"Acacia dunnii","Fabaceae",NA,NA
"Acacia eburnea","Fabaceae",NA,NA
"Acacia elata","Fabaceae","L48(I)","alien"
"Acacia erioloba","Fabaceae",NA,NA
"Acacia erubescens","Fabaceae",NA,NA
"Acacia estrophiolata","Fabaceae",NA,NA
"Acacia extensa","Fabaceae",NA,NA
"Acacia farnesiana","Fabaceae","L48(N)HI(I)PR(N)VI(N)","native"
"Acacia fimbriata","Fabaceae",NA,NA
"Acacia floribunda","Fabaceae",NA,NA
"Acacia galpinii","Fabaceae",NA,NA
"Acacia genistifolia","Fabaceae",NA,NA
"Acacia gerrardii","Fabaceae",NA,NA
"Acacia gladiiformis","Fabaceae",NA,NA
"Acacia glandulicarpa","Fabaceae",NA,NA
"Acacia glauca","Fabaceae",NA,NA
"Acacia goetzei","Fabaceae",NA,NA
"Acacia gracilifolia","Fabaceae",NA,NA
"Acacia greggii","Fabaceae","L48(N)","native"
"Acacia greggii var. greggii","Fabaceae","L48(N)","native"
"Acacia greggii var. wrightii","Fabaceae","L48(N)","native"
"Acacia hakeoides","Fabaceae",NA,NA
"Acacia hebeclada","Fabaceae",NA,NA
"Acacia hemiteles","Fabaceae",NA,NA
"Acacia holosericea","Fabaceae",NA,NA
"Acacia horrida","Fabaceae",NA,NA
"Acacia howittii","Fabaceae",NA,NA
"Acacia imbricata","Fabaceae",NA,NA
"Acacia implexa","Fabaceae",NA,NA
"Acacia irrorata","Fabaceae",NA,NA
"Acacia iteaphylla","Fabaceae",NA,NA
"Acacia ixiophylla","Fabaceae",NA,NA
"Acacia jibberdingensis","Fabaceae",NA,NA
"Acacia jonesii","Fabaceae",NA,NA
"Acacia karroo","Fabaceae",NA,NA
"Acacia koa","Fabaceae","HI(N)",NA
"Acacia koaia","Fabaceae","HI(N)",NA
"Acacia lanuginophylla","Fabaceae",NA,NA
"Acacia lasiocalyx","Fabaceae",NA,NA
"Acacia leiophylla","Fabaceae",NA,NA
"Acacia ligulata","Fabaceae",NA,NA
"Acacia lineata","Fabaceae",NA,NA
"Acacia longifolia","Fabaceae","L48(I)","alien"
"Acacia longifolia ssp. sophorae","Fabaceae",NA,NA
"Acacia longissima","Fabaceae",NA,NA
"Acacia macracantha","Fabaceae","L48(N)PR(N)VI(N)","native"
"Acacia maidenii","Fabaceae",NA,NA
"Acacia mangium","Fabaceae",NA,NA
"Acacia mearnsii","Fabaceae","L48(I)HI(I)","alien"
"Acacia melanoxylon","Fabaceae","L48(I)HI(I)","alien"
"Acacia mellifera","Fabaceae",NA,NA
"Acacia mellifera ssp. detinens","Fabaceae",NA,NA
"Acacia merrallii","Fabaceae",NA,NA
"Acacia microbotrya","Fabaceae",NA,NA
"Acacia microcarpa","Fabaceae",NA,NA
"Acacia millefolia","Fabaceae","L48(N)","native"
"Acacia montana","Fabaceae",NA,NA
"Acacia mucronata","Fabaceae",NA,NA
"Acacia multispicata","Fabaceae",NA,NA
"Acacia muricata","Fabaceae","PR(N)VI(N)",NA
"Acacia myrtifolia","Fabaceae",NA,NA
"Acacia neovernicosa","Fabaceae","L48(N)","native"
"Acacia neriifolia","Fabaceae",NA,NA
"Acacia nigrescens","Fabaceae",NA,NA
"Acacia nilotica","Fabaceae","PR(I)VI(I)",NA
"Acacia nilotica ssp. adstringens","Fabaceae",NA,NA
"Acacia nilotica ssp. kraussiana","Fabaceae",NA,NA
"Acacia notabilis","Fabaceae",NA,NA
"Acacia omalophylla","Fabaceae",NA,NA
"Acacia oswaldii","Fabaceae",NA,NA
"Acacia oxycedrus","Fabaceae",NA,NA
"Acacia pachyceras","Fabaceae",NA,NA
"Acacia pachyceras var. najdensis","Fabaceae",NA,NA
"Acacia papyrocarpa","Fabaceae",NA,NA
"Acacia paradoxa","Fabaceae","L48(I)","alien"
"Acacia parramattensis","Fabaceae","HI(I)",NA
"Acacia parvipinnula","Fabaceae",NA,NA
"Acacia pendula","Fabaceae",NA,NA
"Acacia pennatula","Fabaceae",NA,NA
"Acacia penninervis","Fabaceae",NA,NA
"Acacia pentagona","Fabaceae",NA,NA
"Acacia pinetorum","Fabaceae","L48(N)","native"
"Acacia podalyriifolia","Fabaceae","L48(I)","alien"
"Acacia polyacantha","Fabaceae","PR(I)VI(I)",NA
"Acacia polyacantha ssp. campylacantha","Fabaceae",NA,NA
"Acacia pravissima","Fabaceae",NA,NA
"Acacia prominens","Fabaceae",NA,NA
"Acacia pruinosa","Fabaceae",NA,NA
"Acacia pulchella","Fabaceae",NA,NA
"Acacia pycnantha","Fabaceae","L48(I)","alien"
"Acacia pyrifolia","Fabaceae",NA,NA
"Acacia quornensis","Fabaceae",NA,NA
"Acacia ramulosa","Fabaceae",NA,NA
"Acacia redolens","Fabaceae","L48(I)","alien"
"Acacia rehmanniana","Fabaceae",NA,NA
"Acacia retinodes","Fabaceae","L48(I)","alien"
"Acacia retusa","Fabaceae","PR(N)VI(N)",NA
"Acacia richii","Fabaceae",NA,NA
"Acacia rigens","Fabaceae",NA,NA
"Acacia rigidula","Fabaceae","L48(N)","native"
"Acacia rivalis","Fabaceae",NA,NA
"Acacia robusta","Fabaceae",NA,NA
"Acacia roemeriana","Fabaceae","L48(N)","native"
"Acacia rossei","Fabaceae",NA,NA
"Acacia rubida","Fabaceae",NA,NA
"Acacia rupicola","Fabaceae",NA,NA
"Acacia saliciformis","Fabaceae",NA,NA
"Acacia salicina","Fabaceae",NA,NA
"Acacia saligna","Fabaceae","L48(I)","alien"
"Acacia schaffneri","Fabaceae",NA,NA
"Acacia schaffneri var. bravoensis","Fabaceae","L48(N)","native"
"Acacia schaffneri var. schaffneri","Fabaceae",NA,NA
"Acacia schottii","Fabaceae","L48(N)","native"
"Acacia schweinfurthii","Fabaceae",NA,NA
"Acacia sclerosperma","Fabaceae",NA,NA
"Acacia scleroxyla","Fabaceae",NA,NA
"Acacia senegal","Fabaceae",NA,NA
"Acacia senegal var. rostrata","Fabaceae",NA,NA
"Acacia seyal","Fabaceae",NA,NA
"Acacia sieberiana","Fabaceae",NA,NA
"Acacia sieberiana var. woodii","Fabaceae",NA,NA
"Acacia silvestris","Fabaceae",NA,NA
"Acacia sophorae","Fabaceae",NA,NA
"Acacia spectabilis","Fabaceae",NA,NA
"Acacia sphaerocephala","Fabaceae","L48(I)","alien"
"Acacia stenophylla","Fabaceae",NA,NA
"Acacia stowardii","Fabaceae",NA,NA
"Acacia stricta","Fabaceae",NA,NA
"Acacia suaveolens","Fabaceae",NA,NA
"Acacia sublanata","Fabaceae",NA,NA
"Acacia subulata","Fabaceae",NA,NA
"Acacia swazica","Fabaceae",NA,NA
"Acacia terminalis","Fabaceae",NA,NA
"Acacia tetragonophylla","Fabaceae",NA,NA
"Acacia tortilis","Fabaceae",NA,NA
"Acacia tortilis ssp. heteracantha","Fabaceae",NA,NA
"Acacia tortilis ssp. spirocarpa","Fabaceae",NA,NA
"Acacia tortuosa","Fabaceae","L48(N)PR(N)VI(N)","native"
"Acacia trineura","Fabaceae",NA,NA
"Acacia ulicifolia","Fabaceae",NA,NA
"Acacia uncinata","Fabaceae",NA,NA
"Acacia undulifolia","Fabaceae",NA,NA
"Acacia urophylla","Fabaceae",NA,NA
"Acacia verniciflua","Fabaceae",NA,NA
"Acacia verticillata","Fabaceae","L48(I)","alien"
"Acacia victoriae","Fabaceae",NA,NA
"Acacia viscidula","Fabaceae",NA,NA
"Acacia visco","Fabaceae",NA,NA
"Acacia vogeliana","Fabaceae","PR(N)VI(N)",NA
"Acacia wattsiana","Fabaceae",NA,NA
"Acacia willardiana","Fabaceae",NA,NA
"Acacia xanthophloea","Fabaceae",NA,NA
"Acaciella","Fabaceae","L48(N)","native"
"Acaciella angustissima","Fabaceae","L48(N)","native"
"Acaciella angustissima var. chisosiana","Fabaceae","L48(N)","native"
"Acaciella angustissima var. hirta","Fabaceae","L48(N)","native"
"Acaciella glauca","Fabaceae",NA,NA
"Acaciella leucothrix","Fabaceae","L48(N)","native"
"Acaciella shrevei","Fabaceae","L48(N)","native"
"Acaciella suffrutescens","Fabaceae","L48(N)","native"
"Acaena","Rosaceae","L48(I,N)","native"
"Acaena exigua","Rosaceae","HI(N)",NA
"Acaena myriophylla","Rosaceae",NA,NA
"Acaena novae-zelandiae","Rosaceae","L48(I)","alien"
"Acaena pallida","Rosaceae","L48(I)","alien"
"Acaena pinnatifida","Rosaceae","L48(N)","native"
"Acaena pinnatifida var. californica","Rosaceae","L48(N)","native"
"Acalypha","Euphorbiaceae","L48(I,N)CAN(N)","native"
"Acalypha alopecuroidea","Euphorbiaceae","L48(I)PR(N)","alien"
"Acalypha amentacea","Euphorbiaceae","L48(I)","alien"
"Acalypha amentacea ssp. wilkesiana","Euphorbiaceae","L48(I)PR(I)","alien"
"Acalypha amentacea var. heterotricha","Euphorbiaceae","L48(N)","native"
"Acalypha amentacea var. palauensis","Euphorbiaceae","L48(N)","native"
"Acalypha arvensis","Euphorbiaceae","L48(I)","alien"
"Acalypha australis","Euphorbiaceae","L48(I)","alien"
"Acalypha berteriana","Euphorbiaceae","PR(N)",NA
"Acalypha bisetosa","Euphorbiaceae","PR(N)",NA
"Acalypha californica","Euphorbiaceae","L48(N)","native"
"Acalypha chamaedryfolia","Euphorbiaceae","L48(N)PR(N)VI(N)","native"
"Acalypha deamii","Euphorbiaceae","L48(N)","native"
"Acalypha gracilens","Euphorbiaceae","L48(N)","native"
"Acalypha hispida","Euphorbiaceae","L48(I)PR(I)","alien"
"Acalypha indica","Euphorbiaceae","L48(I)","alien"
"Acalypha lanceolata","Euphorbiaceae","L48(I)","alien"
"Acalypha mexicana","Euphorbiaceae","L48(N)","native"
"Acalypha monococca","Euphorbiaceae","L48(N)","native"
"Acalypha monostachya","Euphorbiaceae","L48(N)","native"
"Acalypha neomexicana","Euphorbiaceae","L48(N)","native"
"Acalypha ostryifolia","Euphorbiaceae","L48(N)PR(N)VI(N)","native"
"Acalypha phleoides","Euphorbiaceae","L48(N)","native"
"Acalypha poiretii","Euphorbiaceae","L48(N)PR(I)VI(I)","native"
"Acalypha portoricensis","Euphorbiaceae","PR(N)VI(N)",NA
"Acalypha radians","Euphorbiaceae","L48(N)","native"
"Acalypha rhomboidea","Euphorbiaceae","L48(N)CAN(N)","native"
"Acalypha setosa","Euphorbiaceae","L48(N)PR(N)","native"
"Acalypha virginica","Euphorbiaceae","L48(N)","native"
"Acalypha wilkesiana","Euphorbiaceae","L48(I)PR(I)","alien"
"Acamptopappus","Asteraceae","L48(N)","native"
"Acamptopappus shockleyi","Asteraceae","L48(N)","native"
"Acamptopappus sphaerocephalus","Asteraceae","L48(N)","native"
"Acamptopappus sphaerocephalus var. hirtellus","Asteraceae","L48(N)","native"
"Acamptopappus sphaerocephalus var. sphaerocephalus","Asteraceae","L48(N)","native"
"Acanthocereus","Cactaceae","L48(N)","native"
"Acanthocereus tetragonus","Cactaceae","L48(N)HI(I)VI(N)","native"
"Acanthomintha","Lamiaceae","L48(N)","native"
"Acanthomintha duttonii","Lamiaceae","L48(N)","native"
"Acanthomintha ilicifolia","Lamiaceae","L48(N)","native"
"Acanthomintha lanceolata","Lamiaceae","L48(N)","native"
"Acanthomintha obovata","Lamiaceae","L48(N)","native"
"Acanthomintha obovata ssp. cordata","Lamiaceae","L48(N)","native"
"Acanthomintha obovata ssp. obovata","Lamiaceae","L48(N)","native"
"Acanthospermum","Asteraceae","L48(I)CAN(I)","alien"
"Acanthospermum australe","Asteraceae","L48(I)HI(I)","alien"
"Acanthospermum hispidum","Asteraceae","L48(I)HI(I)PR(N)VI(N)CAN(I)","alien"
"Acanthospermum humile","Asteraceae","L48(I)","alien"
"Acanthus","Acanthaceae","L48(I)","alien"
"Acanthus ebracteatus","Acanthaceae","L48(N)","native"
"Acanthus mollis","Acanthaceae","L48(I)","alien"
"Acanthus polystachyus","Acanthaceae",NA,NA
"Acanthus polystachyus var. pseudopubescens","Acanthaceae",NA,NA
"Acanthus spinosus","Acanthaceae",NA,NA
"Acanthus syriacus","Acanthaceae",NA,NA
"Acarospora","Acarosporaceae","NA(N)","native"
"Acarospora aeruginosa","Acarosporaceae","NA(N)","native"
"Acarospora albomarginata","Acarosporaceae","NA(N)","native"
"Acarospora americana","Acarosporaceae","NA(N)","native"
"Acarospora amphibola","Acarosporaceae","NA(N)","native"
"Acarospora applanata","Acarosporaceae","NA(N)","native"
"Acarospora arenacea","Acarosporaceae","NA(N)","native"
"Acarospora arenosa","Acarosporaceae","NA(N)","native"
"Acarospora asahinae","Acarosporaceae","NA(N)","native"
"Acarospora asperata","Acarosporaceae","NA(N)","native"
"Acarospora badiofusca","Acarosporaceae","NA(N)","native"
"Acarospora bullata","Acarosporaceae","NA(N)","native"
"Acarospora caesiofusca","Acarosporaceae","NA(N)","native"
"Acarospora californica","Acarosporaceae","NA(N)","native"
"Acarospora canadensis","Acarosporaceae","NA(N)","native"
"Acarospora carnegiei","Acarosporaceae","NA(N)","native"
"Acarospora cervina","Acarosporaceae","NA(N)","native"
"Acarospora cinereoalba","Acarosporaceae","NA(N)","native"
"Acarospora citrina","Acarosporaceae","NA(N)","native"
"Acarospora clauzadeana","Acarosporaceae","NA(N)","native"
"Acarospora coloradiana","Acarosporaceae","NA(N)","native"
"Acarospora complanata","Acarosporaceae","NA(N)","native"
"Acarospora desolata","Acarosporaceae","NA(N)","native"
"Acarospora dispersa","Acarosporaceae","NA(N)","native"
"Acarospora elevata","Acarosporaceae","NA(N)","native"
"Acarospora fuscata","Acarosporaceae","NA(N)","native"
"Acarospora fuscescens","Acarosporaceae","NA(N)","native"
"Acarospora gallica","Acarosporaceae","NA(N)","native"
"Acarospora geogena","Acarosporaceae","NA(N)","native"
"Acarospora glaucocarpa","Acarosporaceae","NA(N)","native"
"Acarospora hassei","Acarosporaceae","NA(N)","native"
"Acarospora heppii","Acarosporaceae","NA(N)","native"
"Acarospora heufleriana","Acarosporaceae","NA(N)","native"
"Acarospora hilaris","Acarosporaceae","NA(N)","native"
"Acarospora immersa","Acarosporaceae","NA(N)","native"
"Acarospora impressula","Acarosporaceae","NA(N)","native"
"Acarospora instrata","Acarosporaceae","NA(N)","native"
"Acarospora interjecta","Acarosporaceae","NA(N)","native"
"Acarospora interposita","Acarosporaceae","NA(N)","native"
"Acarospora interspersa","Acarosporaceae","NA(N)","native"
"Acarospora macrospora","Acarosporaceae","NA(N)","native"
"Acarospora molybdina","Acarosporaceae","NA(N)","native"
"Acarospora nevadensis","Acarosporaceae","NA(N)","native"
"Acarospora nigromarginata","Acarosporaceae","NA(N)","native"
"Acarospora nitida","Acarosporaceae","NA(N)","native"
"Acarospora nodulosa","Acarosporaceae","NA(N)","native"
"Acarospora nodulosa var. nodulosa","Acarosporaceae","NA(N)","native"
"Acarospora obnubila","Acarosporaceae","NA(N)","native"
"Acarospora obpallens","Acarosporaceae","NA(N)","native"
"Acarospora oligospora","Acarosporaceae","NA(N)","native"
"Acarospora particularis","Acarosporaceae","NA(N)","native"
"Acarospora peliscypha","Acarosporaceae","NA(N)","native"
"Acarospora peltastica","Acarosporaceae","NA(N)","native"
"Acarospora pyrenopsoides","Acarosporaceae","NA(N)","native"
"Acarospora radicata","Acarosporaceae","NA(N)","native"
"Acarospora reagens","Acarosporaceae","NA(N)","native"
"Acarospora rugulosa","Acarosporaceae","NA(N)","native"
"Acarospora saepincola","Acarosporaceae","NA(N)","native"
"Acarospora scabrida","Acarosporaceae","NA(N)","native"
"Acarospora schleicheri","Acarosporaceae","NA(N)","native"
"Acarospora scotica","Acarosporaceae","NA(N)","native"
"Acarospora sinopica","Acarosporaceae","NA(N)","native"
"Acarospora smaragdula","Acarosporaceae","NA(N)","native"
"Acarospora socialis","Acarosporaceae","NA(N)","native"
"Acarospora sparsa","Acarosporaceae","NA(N)","native"
"Acarospora stapfiana","Acarosporaceae","NA(N)","native"
"Acarospora strigata","Acarosporaceae","NA(N)","native"
"Acarospora succedens","Acarosporaceae","NA(N)","native"
"Acarospora superfusa","Acarosporaceae","NA(N)","native"
"Acarospora tenebrica","Acarosporaceae","NA(N)","native"
"Acarospora terricola","Acarosporaceae","NA(N)","native"
"Acarospora thamnina","Acarosporaceae","NA(N)","native"
"Acarospora thelococcoides","Acarosporaceae","NA(N)","native"
"Acarospora thermophila","Acarosporaceae","NA(N)","native"
"Acarospora tongleti","Acarosporaceae","NA(N)","native"
"Acarospora tucsonensis","Acarosporaceae","NA(N)","native"
"Acarospora utahensis","Acarosporaceae","NA(N)","native"
"Acarospora veronensis","Acarosporaceae","NA(N)","native"
"Acarospora washingtonensis","Acarosporaceae","NA(N)","native"
"Acaulon","Pottiaceae","NA(N)","native"
"Acaulon muticum","Pottiaceae","NA(N)","native"
"Acaulon muticum var. muticum","Pottiaceae","NA(N)","native"
"Acaulon muticum var. rufescens","Pottiaceae","NA(N)","native"
"Acaulon schimperianum","Pottiaceae","NA(N)","native"
"Acaulon triquetrum","Pottiaceae","NA(N)","native"
"Acer","Aceraceae","L48(I,N)CAN(I,N)SPM(N)","native"
"Acer X freemanii","Aceraceae","L48(N)CAN(N)","native"
"Acer buergerianum","Aceraceae",NA,"alien"
"Acer campestre","Aceraceae","L48(I)CAN(I)","alien"
"Acer circinatum","Aceraceae","L48(N)AK(N?)CAN(N)","native"
"Acer cissifolium","Aceraceae",NA,NA
"Acer diabolicum","Aceraceae",NA,"alien"
"Acer floridanum","Aceraceae","L48(N)","native"
"Acer ginnala","Aceraceae","L48(I)CAN(I)","alien"
"Acer glabrum","Aceraceae","L48(N)AK(I?)CAN(N)","native"
"Acer glabrum var. diffusum","Aceraceae","L48(N)","native"
"Acer glabrum var. douglasii","Aceraceae","L48(N)AK(I?)CAN(N)","native"
"Acer glabrum var. glabrum","Aceraceae","L48(N)","native"
"Acer glabrum var. greenei","Aceraceae","L48(N)","native"
"Acer glabrum var. neomexicanum","Aceraceae","L48(N)","native"
"Acer glabrum var. torreyi","Aceraceae","L48(N)","native"
"Acer grandidentatum","Aceraceae","L48(N)","native"
"Acer grandidentatum var. grandidentatum","Aceraceae","L48(N)","native"
